# Ticker: 000660
# yfinance symbol: 000660.KS
# Generated: 2026-09-03T00:01:13.156532+00:00
# Bars: 242
# Daily-source: yfinance
# Daily-freshness: fresh (last-bar 2026-09-02, expected 2026-09-02)
Date,Close,High,Low,Open,Volume
2025-09-03,261728.453125,264719.63544642855,256992.41444940478,258737.27080357145,2437896
2025-09-04,264719.6875,270203.522834275,263722.62653013185,266215.27895480226,2189959
2025-09-05,272696.125,274191.71617915906,271200.53382084094,272197.594606947,3103427
2025-09-08,276185.84375,278179.9653655235,273194.6613267148,277681.4349616426,2018299
2025-09-09,287153.53125,287652.0616861979,276185.8616536458,277182.9225260416,4158342
2025-09-10,303106.5,304103.56085526315,292138.8305921053,293634.421875,5265553
2025-09-11,306097.6875,314074.174470684,304602.0961929968,309088.8701140065,5148088
2025-09-12,327534.5,328531.5608828006,318062.4216133942,321053.60426179605,4242516
2025-09-15,330027.15625,340496.29564765864,324044.79087990936,338502.1738576284,4221256
2025-09-16,346977.1875,352959.5528017242,330525.6829202586,330525.6829202586,5841135
2025-09-17,332519.75,341493.29647676164,332519.75,339997.70539730135,4498866
2025-09-18,354455.15625,355950.7476265823,335510.99881329114,337505.12064873416,4526286
2025-09-22,349968.375,357944.8621794872,344235.27483974356,347974.2532051282,4377563
2025-09-23,359938.96875,361933.09046052635,351962.4819078947,354455.13404605264,3315336
2025-09-24,356449.25,362930.14545454545,347475.70244755247,357944.8412587413,4165199
2025-09-25,355452.1875,357944.83958625526,348472.7616584853,350965.41374474054,2148215
2025-09-26,335510.96875,347974.2291047548,332021.25585066865,346478.63786218426,3685324
2025-09-29,347974.25,349968.3717765043,338003.6411174785,338502.1715616046,2275986
2025-09-30,346478.65625,355452.20418165467,346478.65625,351962.4910971223,2238614
2025-10-01,358941.875,360935.99652777775,349968.328125,349968.328125,2802437
2025-10-02,394337.53125,403311.07810524653,382871.33249051834,387358.10591814155,7430763
2025-10-10,426742.03125,437958.9654826227,415275.83181220794,424747.90960864484,6835852
2025-10-13,413780.25,414278.78042168677,401815.5198795181,404308.1719879518,4356534
