# Ticker: 196170
# yfinance symbol: 196170.KQ
# Generated: 2026-08-24T00:01:27.849713+00:00
# Bars: 241
# Daily-source: yfinance
# Daily-freshness: fresh (last-bar 2026-08-21, expected 2026-08-21)
Date,Close,High,Low,Open,Volume
2025-08-25,336638.34375,340865.54975424486,331258.3002815699,334716.9063449018,336247
2025-08-26,340096.96875,346629.88067018834,330873.98835739464,332411.156960094,412166
2025-08-27,325109.65625,341249.8490715837,324341.0563105581,337022.6430754293,545584
2025-08-28,321266.75,327799.6933627499,320498.15006109304,327799.6933627499,263734
2025-08-29,337022.625,343171.2680678069,330489.68198308325,336254.0563253705,588195
2025-09-01,349704.21875,361232.9364636858,347014.1814944476,347398.48145198106,881713
2025-09-02,355468.5625,357774.3310248853,347014.18198739045,354699.9938074322,384446
2025-09-03,356237.15625,357005.7249292645,349704.213193685,353931.418988616,260845
2025-09-04,359311.46875,363154.37466365704,353931.425449753,356237.162753229,299673
2025-09-05,365460.125,366612.9936928511,354315.70682004496,358158.6128707459,349759
2025-09-08,367381.59375,376220.27454696805,362385.8190049134,375835.97457470227,364711
2025-09-09,366228.71875,370071.62473570305,355084.30075853865,365075.85007664823,489790
2025-09-10,373530.21875,377757.4245654828,368918.7442048119,370071.61284110893,450862
2025-09-11,363538.6875,373145.9370126718,363538.6875,371224.49959957425,572694
2025-09-12,377757.4375,381600.3122701774,365460.1195857839,367381.5881944643,566471
2025-09-15,377757.4375,381984.6122366318,375067.40018200246,380447.44359440584,290719
2025-09-16,378910.3125,380063.18119501363,373145.93780133984,378141.71255426283,271291
2025-09-17,363538.6875,386596.0925751307,363538.6875,386596.0925751307,553393
2025-09-18,360848.65625,373530.2433065688,359695.78753791127,368918.76845821383,354042
2025-09-22,389670.40625,406579.166863767,380831.7259943885,389670.40625,1307205
2025-09-23,370455.90625,386596.099456983,366613.0001318047,385058.9619885791,999892
2025-09-24,357005.75,375451.6806100283,350857.1064633239,375451.6806100283,739605
2025-09-25,349704.21875,360080.0678146763,348935.650058524,359311.4678996094,462706
2025-09-26,343555.59375,352394.27467643254,342018.4250620133,348935.668546157,462504
2025-09-29,358158.59375,358542.8937016314,348935.64469957014,350857.08201054623,409527
2025-09-30,352009.96875,356621.4435124391,348167.06270677,356237.17476463056,281739
2025-10-01,352009.96875,360080.08080786053,351241.4000307908,359695.7808364599,217516
2025-10-02,362385.8125,364691.54984502186,352009.96322380996,358927.2064824672,481542
2025-10-10,354315.6875,360080.061873529,349704.21298004914,359695.76192233624,354222
2025-10-13,341249.84375,350088.5243506039,340096.9750824075,348167.05575555534,411944
2025-10-14,342787.0,357774.32336095895,340481.2315245068,345092.7372519029,549090
2025-10-15,342018.40625,347782.78070699435,340865.5376033193,345861.3121467993,342609
2025-10-16,332026.875,343939.8932871395,331258.3062687879,343939.8932871395,569849
2025-10-17,332795.46875,344324.15562119795,327415.39406104625,331642.5688392882,557376
2025-10-20,340096.96875,343939.874644953,334332.59429577505,336638.3315880287,315460
2025-10-21,340481.25,344324.1560362287,338175.5126229812,342787.01860061084,291944
2025-10-22,347014.1875,353162.83080899157,337791.2381483084,340865.54419100843,393069
2025-10-23,348167.0625,354315.7059207979,345092.75640139706,347782.79375241965,275555
2025-10-24,342787.0,350472.78043181275,340865.53147435404,350472.78043181275,369242
2025-10-27,371608.75,373914.51849489956,340481.2343901477,344324.1402501929,990655
2025-10-28,365844.40625,373145.91800559807,362770.10030092264,371993.04937174526,421522
2025-10-29,358542.90625,365075.84953842295,355852.8689416146,363538.68090168963,378509
